Date,MSCI-Open,MSCI-High,MSCI-Low,MSCI-Close,MSCI-Adj Close,MSCI-Volume
2022-01-03,135.8699951171875,136.0500030517578,135.08999633789062,136.0500030517578,130.47113037109375,371900
2022-01-04,136.5500030517578,136.69000244140625,135.6199951171875,136.0500030517578,130.47113037109375,170700
2022-01-05,136.07000732421875,136.24000549316406,133.66000366210938,133.77000427246094,128.28463745117188,109100
2022-01-06,133.38999938964844,134.16000366210938,132.77000427246094,133.52000427246094,128.04489135742188,306000
2022-01-07,133.25,133.74000549316406,132.60000610351562,133.19000244140625,127.7283935546875,212800
2022-01-10,132.1199951171875,132.69000244140625,130.41000366210938,132.63999938964844,127.20096588134766,467000
2022-01-11,132.6300048828125,134.0399932861328,132.0,134.02000427246094,128.52438354492188,346300
2022-01-12,134.7100067138672,135.02000427246094,134.0800018310547,134.61000061035156,129.09019470214844,241900
2022-01-13,135.05999755859375,135.11000061035156,132.80999755859375,132.97999572753906,127.52701568603516,237900
2022-01-14,132.14999389648438,133.02000427246094,131.67999267578125,133.0,127.54619598388672,276400
2022-01-18,131.32000732421875,131.60000610351562,130.41000366210938,130.61000061035156,125.25421142578125,599000
2022-01-19,131.27000427246094,131.55999755859375,129.58999633789062,129.6699981689453,124.35273742675781,222300
2022-01-20,130.2899932861328,131.50999450683594,128.41000366210938,128.4600067138672,123.19237518310547,171600
2022-01-21,128.22999572753906,128.60000610351562,126.18000030517578,126.19000244140625,121.01545715332031,347200
2022-01-24,124.29000091552734,126.25,121.29000091552734,126.0999984741211,120.92914581298828,593500
2022-01-25,124.4000015258789,126.08999633789062,122.97000122070312,124.8499984741211,119.73040771484375,172400
2022-01-26,126.58000183105469,127.19000244140625,123.36000061035156,124.41999816894531,119.31803131103516,190300
2022-01-27,125.51000213623047,126.16999816894531,123.4000015258789,123.76000213623047,118.68509674072266,146100
2022-01-28,123.8499984741211,125.9800033569336,122.63999938964844,125.94000244140625,120.77570343017578,363400
2022-01-31,125.9800033569336,128.42999267578125,125.66000366210938,128.32000732421875,123.05812072753906,211600
2022-02-01,128.82000732421875,129.4499969482422,127.91000366210938,129.3699951171875,124.0650405883789,134900
2022-02-02,130.0399932861328,130.58999633789062,129.44000244140625,130.4499969482422,125.10076141357422,114400
2022-02-03,128.77000427246094,129.2100067138672,127.44000244140625,127.63999938964844,122.406005859375,87300
2022-02-04,127.54000091552734,129.17999267578125,127.0,128.22000122070312,122.96221160888672,86800
2022-02-07,128.4600067138672,128.94000244140625,127.75,128.05999755859375,122.80877685546875,273900
2022-02-08,127.83000183105469,129.17999267578125,127.45999908447266,128.97999572753906,123.69104766845703,343800
2022-02-09,130.3800048828125,131.0,130.32000732421875,130.9499969482422,125.58025360107422,156800
2022-02-10,129.27999877929688,131.1999969482422,128.4199981689453,128.91000366210938,123.62391662597656,87600
2022-02-11,128.97000122070312,129.47000122070312,126.19000244140625,126.63999938964844,121.44700622558594,87900
2022-02-14,126.4000015258789,126.63999938964844,125.12000274658203,126.11000061035156,120.93873596191406,236800
2022-02-15,127.4800033569336,128.41000366210938,127.38999938964844,128.3000030517578,123.03893280029297,983000
2022-02-16,127.77999877929688,128.72999572753906,127.37000274658203,128.52999877929688,123.2594985961914,119700
2022-02-17,127.58000183105469,127.62000274658203,125.8499984741211,126.04000091552734,120.8716049194336,78700
2022-02-18,126.05000305175781,126.25,124.5,125.0999984741211,119.97014617919922,476600
2022-02-22,124.30999755859375,125.08999633789062,122.6500015258789,123.61000061035156,118.54125213623047,503100
2022-02-23,124.58999633789062,124.79000091552734,121.62999725341797,121.81999969482422,116.82464599609375,139900
2022-02-24,118.20999908447266,122.5999984741211,117.94000244140625,122.41999816894531,117.40003967285156,512500
2022-02-25,123.19999694824219,125.44000244140625,122.73999786376953,125.27999877929688,120.14276885986328,225700
2022-02-28,123.77999877929688,125.27999877929688,123.23999786376953,124.58000183105469,119.47147369384766,291800
